2020-04-26 11:35:21,945 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Starting AuditorApplicationTests on IMLMDVABHISHEKPA with PID 15847 (started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:35:21,946 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - No active profile set, falling back to default profiles: default
2020-04-26 11:35:22,289 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Started AuditorApplicationTests in 0.616 seconds (JVM running for 1.504)
2020-04-26 11:37:41,088 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Starting AuditorApplicationTests on IMLMDVABHISHEKPA with PID 16208 (started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:37:41,089 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - No active profile set, falling back to default profiles: default
2020-04-26 11:37:41,840 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Started AuditorApplicationTests in 1.025 seconds (JVM running for 1.724)
2020-04-26 11:45:21,263 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 16543 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:45:21,268 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 11:45:21,844 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.838 seconds (JVM running for 1.334)
2020-04-26 11:45:21,856 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@18a136ac[hello=0,valid=true,world=1]

2020-04-26 11:45:34,182 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Starting AuditorApplicationTests on IMLMDVABHISHEKPA with PID 16558 (started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:45:34,183 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - No active profile set, falling back to default profiles: default
2020-04-26 11:45:34,633 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Started AuditorApplicationTests in 0.729 seconds (JVM running for 1.624)
2020-04-26 12:14:41,198 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 18112 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:14:41,202 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:14:41,757 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.824 seconds (JVM running for 1.404)
2020-04-26 12:14:41,768 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@149dd36b[hello=0,valid=true,world=1]

2020-04-26 12:15:02,689 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Starting AuditorApplicationTests on IMLMDVABHISHEKPA with PID 18256 (started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:15:02,690 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - No active profile set, falling back to default profiles: default
2020-04-26 12:15:03,091 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Started AuditorApplicationTests in 0.65 seconds (JVM running for 1.455)
2020-04-26 12:17:24,157 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Starting AuditorApplicationTests on IMLMDVABHISHEKPA with PID 18858 (started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:17:24,158 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - No active profile set, falling back to default profiles: default
2020-04-26 12:17:24,585 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Started AuditorApplicationTests in 0.679 seconds (JVM running for 1.456)
2020-04-26 12:21:58,600 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 19508 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:21:58,603 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:21:59,153 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 1.148 seconds (JVM running for 1.897)
2020-04-26 12:22:01,611 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@5f462e3b[hello=0,valid=true,world=1]

2020-04-26 12:22:25,599 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 19514 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:22:25,602 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:22:26,033 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.739 seconds (JVM running for 1.48)
2020-04-26 12:24:41,710 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@23eee4b8[hello=0,valid=true,world=1]

2020-04-26 12:27:26,873 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 20505 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:27:26,877 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:27:27,427 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.987 seconds (JVM running for 1.756)
2020-04-26 12:29:36,842 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 20521 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:29:36,845 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:29:37,316 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.822 seconds (JVM running for 1.34)
2020-04-26 12:31:52,131 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 20565 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:31:52,134 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:31:52,618 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.983 seconds (JVM running for 1.679)
2020-04-26 12:32:17,144 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 20570 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:32:17,146 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:32:17,588 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.755 seconds (JVM running for 1.455)
2020-04-26 12:32:20,259 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@40226788[hello=0,valid=true,world=1]

2020-04-26 12:33:52,880 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 20601 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
